 ====================>     TALLY 1: REACTION_RATES     <====================

 Cell 2
   Total Material
     (n,2n)                               0.00428843 +/- 6.51289e-09
         (n,n29)                              0 +/- 0
         (n,n30)                              0 +/- 0
         (n,n31)                              0 +/- 0
         (n,n32)                              0 +/- 0
         (n,n33)                              0 +/- 0
         (n,n34)                              0 +/- 0
         (n,n35)                              0 +/- 0
         (n,n36)                              0 +/- 0
         (n,n37)                              0 +/- 0
         (n,n38)                              0 +/- 0
         (n,n39)                              0 +/- 0
         (n,n40)                              0 +/- 0
         (n,nc)                               0 +/- 0
     Outgoing Energy [1029.5386203571502, 1039.5774653840851)
       Total Material
         (n,2n)                               9e-10 +/- 2.87623e-10
         Nu-Fission Rate                      5.6e-09 +/- 7.56387e-10
         (n,n1)                               0 +/- 0
         (n,n2)                               0 +/- 0
         (n,n3)                               0 +/- 0
         (n,n4)                               0 +/- 0
         (n,n5)                               0 +/- 0
         (n,n6)                               0 +/- 0
         (n,n7)                               0 +/- 0
         (n,n8)                               0 +/- 0
         (n,n9)                               0 +/- 0
         (n,n10)                              0 +/- 0
         (n,n11)                              0 +/- 0
         (n,n12)                              0 +/- 0
         (n,n13)                              0 +/- 0
         (n,n14)                              0 +/- 0
         (n,n15)                              0 +/- 0
         (n,n16)                              0 +/- 0
         (n,n17)                              0 +/- 0
         (n,n18)                              0 +/- 0
         (n,n19)                              0 +/- 0
         (n,n20)                              0 +/- 0
         (n,n21)                              0 +/- 0
         (n,n22)                              0 +/- 0
         (n,n23)                              0 +/- 0
         (n,n24)                              0 +/- 0
         (n,n25)                              0 +/- 0
         (n,n26)                              0 +/- 0
         (n,n27)                              0 +/- 0
         (n,n28)                              0 +/- 0
         (n,n29)                              0 +/- 0
         (n,n30)                              0 +/- 0
         (n,n31)                              0 +/- 0
         (n,n32)                              0 +/- 0
         (n,n33)                              0 +/- 0
         (n,n34)                              0 +/- 0
         (n,n35)                              0 +/- 0
         (n,n36)                              0 +/- 0
         (n,n37)                              0 +/- 0
         (n,n38)                              0 +/- 0
         (n,n39)                              0 +/- 0
         (n,n40)                              0 +/- 0
         (n,nc)                               1e-10 +/- 1e-10
     Outgoing Energy [1039.5774653840851, 1049.7141973746388)
       Total Material
         (n,2n)                               4e-10 +/- 1.96946e-10
         Nu-Fission Rate                      5.7e-09 +/- 7.42028e-10
         (n,n1)                               0 +/- 0
         (n,n2)                               0 +/- 0
         (n,n3)                               0 +/- 0
         (n,n4)                               0 +/- 0
         (n,n5)                               0 +/- 0
         (n,n6)                               0 +/- 0
         (n,n7)                               0 +/- 0
         (n,n8)                               0 +/- 0
         (n,n9)                               0 +/- 0
         (n,n10)                              0 +/- 0
         (n,n11)                              0 +/- 0
         (n,n12)                              0 +/- 0
         (n,n13)                              0 +/- 0
         (n,n14)                              0 +/- 0
         (n,n15)                              0 +/- 0
         (n,n16)                              0 +/- 0
         (n,n17)                              0 +/- 0
         (n,n18)                              0 +/- 0
         (n,n19)                              0 +/- 0
         (n,n20)                              0 +/- 0
         (n,n21)                              0 +/- 0
         (n,n22)                              0 +/- 0
         (n,n23)                              0 +/- 0
         (n,n24)                              0 +/- 0
         (n,n25)                              0 +/- 0
         (n,n26)                              0 +/- 0
         (n,n27)                              0 +/- 0
         (n,n28)                              0 +/- 0
         (n,n29)                              0 +/- 0
         (n,n30)                              0 +/- 0
         (n,n31)                              0 +/- 0
         (n,n32)                              0 +/- 0
         (n,n33)                              0 +/- 0
         (n,n34)                              0 +/- 0
         (n,n35)                              0 +/- 0
         (n,n36)                              0 +/- 0
         (n,n37)                              0 +/- 0
         (n,n38)                              0 +/- 0
         (n,n39)                              0 +/- 0
         (n,n40)                              0 +/- 0
         (n,nc)                               0 +/- 0
     Outgoing Energy [1049.7141973746388, 1059.949770806904)
       Total Material
         (n,2n)                               6e-10 +/- 2.38683e-10
         Nu-Fission Rate                      5e-09 +/- 6.27646e-10
         (n,n1)                               0 +/- 0
         (n,n2)                               0 +/- 0
         (n,n3)                               0 +/- 0
         (n,n4)                               0 +/- 0
         (n,n5)                               0 +/- 0
         (n,n6)                               0 +/- 0
         (n,n7)                               0 +/- 0
         (n,n8)                               0 +/- 0
         (n,n9)                               0 +/- 0
         (n,n10)                              0 +/- 0
         (n,n11)                              0 +/- 0
         (n,n12)                              0 +/- 0
         (n,n13)                              0 +/- 0
         (n,n14)                              0 +/- 0
         (n,n15)                              0 +/- 0
         (n,n16)                              0 +/- 0
         (n,n17)                              0 +/- 0
         (n,n18)                              0 +/- 0
         (n,n19)                              0 +/- 0
         (n,n20)                              0 +/- 0
         (n,n21)                              0 +/- 0
         (n,n22)                              0 +/- 0
         (n,n23)                              0 +/- 0
         (n,n24)                              0 +/- 0
         (n,n25)                              0 +/- 0
         (n,n26)                              0 +/- 0
         (n,n27)                              0 +/- 0
         (n,n28)                              0 +/- 0
         (n,n29)                              0 +/- 0
         (n,n30)                              0 +/- 0
         (n,n31)                              0 +/- 0
         (n,n32)                              0 +/- 0
         (n,n33)                              0 +/- 0
         (n,n34)                              0 +/- 0
         (n,n35)                              0 +/- 0
         (n,n36)                              0 +/- 0
         (n,n37)                              0 +/- 0
         (n,n38)                              0 +/- 0
         (n,n39)                              0 +/- 0
         (n,n40)                              0 +/- 0
         (n,nc)                               0 +/- 0
     Outgoing Energy [1059.949770806904, 1070.2851494659142)
       Total Material
         (n,2n)                               5e-10 +/- 2.19043e-10
         Nu-Fission Rate                      4.2e-09 +/- 6.0603e-10
         (n,n1)                               0 +/- 0
         (n,n2)                               0 +/- 0
         (n,n3)                               0 +/- 0
         (n,n4)                               0 +/- 0
         (n,n5)                               0 +/- 0
         (n,n6)                               0 +/- 0
         (n,n7)                               0 +/- 0
         (n,n8)                               0 +/- 0
         (n,n9)                               0 +/- 0
         (n,n10)                              0 +/- 0
         (n,n11)                              0 +/- 0
         (n,n12)                              0 +/- 0
         (n,n13)                              0 +/- 0
         (n,n14)                              0 +/- 0
         (n,n15)                              0 +/- 0
         (n,n16)                              0 +/- 0
         (n,n17)                              0 +/- 0
         (n,n18)                              0 +/- 0
         (n,n19)                              0 +/- 0
         (n,n20)                              0 +/- 0
         (n,n21)                              0 +/- 0
         (n,n22)                              0 +/- 0
         (n,n23)                              0 +/- 0
         (n,n24)                              0 +/- 0
         (n,n25)                              0 +/- 0
         (n,n26)                              0 +/- 0
         (n,n27)                              0 +/- 0
         (n,n28)                              0 +/- 0
         (n,n29)                              0 +/- 0
         (n,n30)                              0 +/- 0
         (n,n31)                              0 +/- 0
         (n,n32)                              0 +/- 0
         (n,n33)                              0 +/- 0
         (n,n34)                              0 +/- 0
         (n,n35)                              0 +/- 0
         (n,n36)                              0 +/- 0
         (n,n37)                              0 +/- 0
         (n,n38)                              0 +/- 0
         (n,n39)                              0 +/- 0
         (n,n40)                              0 +/- 0
         (n,nc)                               0 +/- 0
     Outgoing Energy [1070.2851494659142, 1080.721306534399)
       Total Material
         (n,2n)                               4e-10 +/- 1.96946e-10
         Nu-Fission Rate                      4.5e-09 +/- 6.09272e-10
         (n,n1)                               0 +/- 0
         (n,n2)                               0 +/- 0
         (n,n3)                               0 +/- 0
         (n,n4)                               0 +/- 0
         (n,n5)                               0 +/- 0
         (n,n6)                               0 +/- 0
         (n,n7)                               0 +/- 0
         (n,n8)                               0 +/- 0
         (n,n9)                               0 +/- 0
         (n,n10)                              0 +/- 0
         (n,n11)                              0 +/- 0
         (n,n12)                              0 +/- 0
         (n,n13)                              0 +/- 0
         (n,n14)                              0 +/- 0
         (n,n15)                              0 +/- 0
         (n,n16)                              0 +/- 0
         (n,n17)                              0 +/- 0
         (n,n18)                              0 +/- 0
         (n,n19)                              0 +/- 0
         (n,n20)                              0 +/- 0
         (n,n21)                              0 +/- 0
         (n,n22)                              0 +/- 0
         (n,n23)                              0 +/- 0
         (n,n24)                              0 +/- 0
         (n,n25)                              0 +/- 0
         (n,n26)                              0 +/- 0
         (n,n27)                              0 +/- 0
         (n,n28)                              0 +/- 0
         (n,n29)                              0 +/- 0
         (n,n30)                              0 +/- 0
         (n,n31)                              0 +/- 0
         (n,n32)                              0 +/- 0
         (n,n33)                              0 +/- 0
         (n,n34)                              0 +/- 0
         (n,n35)                              0 +/- 0
         (n,n36)                              0 +/- 0
         (n,n37)                              0 +/- 0
         (n,n38)                              0 +/- 0
         (n,n39)                              0 +/- 0
         (n,n40)                              0 +/- 0
         (n,nc)                               0 +/- 0
     Outgoing Energy [1080.721306534399, 1091.2592246844176)
       Total Material
         (n,2n)                               3e-10 +/- 1.71447e-10
         Nu-Fission Rate                      4e-09 +/- 6.19547e-10
         (n,n1)                               0 +/- 0
         (n,n2)                               0 +/- 0
         (n,n3)                               0 +/- 0
         (n,n4)                               0 +/- 0
         (n,n5)                               0 +/- 0
         (n,n6)                               0 +/- 0
         (n,n7)                               0 +/- 0
         (n,n8)                               0 +/- 0
         (n,n9)                               0 +/- 0
         (n,n10)                              0 +/- 0
         (n,n11)                              0 +/- 0
         (n,n12)                              0 +/- 0
         (n,n13)                              0 +/- 0
         (n,n14)                              0 +/- 0
         (n,n15)                              0 +/- 0
         (n,n16)                              0 +/- 0
         (n,n17)                              0 +/- 0
         (n,n18)                              0 +/- 0
         (n,n19)                              0 +/- 0
         (n,n20)                              0 +/- 0
         (n,n21)                              0 +/- 0
         (n,n22)                              0 +/- 0
         (n,n23)                              0 +/- 0
         (n,n24)                              0 +/- 0
         (n,n25)                              0 +/- 0
         (n,n26)                              0 +/- 0
         (n,n27)                              0 +/- 0
         (n,n28)                              0 +/- 0
         (n,n29)                              0 +/- 0
         (n,n30)                              0 +/- 0
         (n,n31)                              0 +/- 0
         (n,n32)                              0 +/- 0
         (n,n33)                              0 +/- 0
         (n,n34)                              0 +/- 0
         (n,n35)                              0 +/- 0
         (n,n36)                              0 +/- 0
         (n,n37)                              0 +/- 0
         (n,n38)                              0 +/- 0
         (n,n39)                              0 +/- 0
         (n,n40)                              0 +/- 0
         (n,nc)                               1e-10 +/- 1e-10
     Outgoing Energy [1091.2592246844176, 1101.8998961698835)
       Total Material
         (n,2n)                               6e-10 +/- 2.38683e-10
         Nu-Fission Rate                      5.6e-09 +/- 7.29189e-10
         (n,n1)                               0 +/- 0
         (n,n2)                               0 +/- 0
         (n,n3)                               0 +/- 0
         (n,n4)                               0 +/- 0
         (n,n5)                               0 +/- 0
         (n,n6)                               0 +/- 0
         (n,n7)                               0 +/- 0
         (n,n8)                               0 +/- 0
         (n,n9)                               0 +/- 0
         (n,n10)                              0 +/- 0
         (n,n11)                              0 +/- 0
         (n,n12)                              0 +/- 0
         (n,n13)                              0 +/- 0
         (n,n14)                              0 +/- 0
         (n,n15)                              0 +/- 0
         (n,n16)                              0 +/- 0
         (n,n17)                              0 +/- 0
         (n,n18)                              0 +/- 0
         (n,n19)                              0 +/- 0
         (n,n20)                              0 +/- 0
         (n,n21)                              0 +/- 0
         (n,n22)                              0 +/- 0
         (n,n23)                              0 +/- 0
         (n,n24)                              0 +/- 0
         (n,n25)                              0 +/- 0
         (n,n26)                              0 +/- 0
         (n,n27)                              0 +/- 0
         (n,n28)                              0 +/- 0
         (n,n29)                              0 +/- 0
         (n,n30)                              0 +/- 0
         (n,n31)                              0 +/- 0
         (n,n32)                              0 +/- 0
         (n,n33)                              0 +/- 0
         (n,n34)                              0 +/- 0
         (n,n35)                              0 +/- 0
         (n,n36)                              0 +/- 0
         (n,n37)                              0 +/- 0
         (n,n38)                              0 +/- 0
         (n,n39)                              0 +/- 0
         (n,n40)                              0 +/- 0
         (n,nc)                               0 +/- 0
     Outgoing Energy [1101.8998961698835, 1112.644322920002)
       Total Material
         (n,2n)                               3e-10 +/- 1.71447e-10
         Nu-Fission Rate                      4.3e-09 +/- 7e-10
         (n,n1)                               0 +/- 0
         (n,n2)                               0 +/- 0
         (n,n3)                               0 +/- 0
         (n,n4)                               0 +/- 0
         (n,n5)                               0 +/- 0
         (n,n6)                               0 +/- 0
         (n,n7)                               0 +/- 0
         (n,n8)                               0 +/- 0
         (n,n9)                               0 +/- 0
         (n,n10)                              0 +/- 0
         (n,n11)                              0 +/- 0
         (n,n12)                              0 +/- 0
         (n,n13)                              0 +/- 0
         (n,n14)                              0 +/- 0
         (n,n15)                              0 +/- 0
         (n,n16)                              0 +/- 0
         (n,n17)                              0 +/- 0
         (n,n18)                              0 +/- 0
         (n,n19)                              0 +/- 0
         (n,n20)                              0 +/- 0
         (n,n21)                              0 +/- 0
         (n,n22)                              0 +/- 0
         (n,n23)                              0 +/- 0
         (n,n24)                              0 +/- 0
         (n,n25)                              0 +/- 0
         (n,n26)                              0 +/- 0
         (n,n27)                              0 +/- 0
         (n,n28)                              0 +/- 0
         (n,n29)                              0 +/- 0
         (n,n30)                              0 +/- 0
         (n,n31)                              0 +/- 0
         (n,n32)                              0 +/- 0
         (n,n33)                              0 +/- 0
         (n,n34)                              0 +/- 0
         (n,n35)                              0 +/- 0
         (n,n36)                              0 +/- 0
         (n,n37)                              0 +/- 0
         (n,n38)                              0 +/- 0
         (n,n39)                              0 +/- 0
         (n,n40)                              0 +/- 0
         (n,nc)                               0 +/- 0
     Outgoing Energy [1112.644322920002, 1123.4935166336086)
       Total Material
         (n,2n)                               5e-10 +/- 2.19043e-10
         Nu-Fission Rate                      4.8e-09 +/- 6.58741e-10
         (n,n1)                               0 +/- 0
         (n,n2)                               0 +/- 0
         (n,n3)                               0 +/- 0
         (n,n4)                               0 +/- 0
         (n,n5)                               0 +/- 0
         (n,n6)                               0 +/- 0
         (n,n7)                               0 +/- 0
         (n,n8)                               0 +/- 0
         (n,n9)                               0 +/- 0
         (n,n10)                              0 +/- 0
         (n,n11)                              0 +/- 0
         (n,n12)                              0 +/- 0
         (n,n13)                              0 +/- 0
         (n,n14)                              0 +/- 0
         (n,n15)                              0 +/- 0
         (n,n16)                              0 +/- 0
         (n,n17)                              0 +/- 0
         (n,n18)                              0 +/- 0
         (n,n19)                              0 +/- 0
         (n,n20)                              0 +/- 0
         (n,n21)                              0 +/- 0
         (n,n22)                              0 +/- 0
         (n,n23)                              0 +/- 0
         (n,n24)                              0 +/- 0
         (n,n25)                              0 +/- 0
         (n,n26)                              0 +/- 0
         (n,n27)                              0 +/- 0
         (n,n28)                              0 +/- 0
         (n,n29)                              0 +/- 0
         (n,n30)                              0 +/- 0
         (n,n31)                              0 +/- 0
         (n,n32)                              0 +/- 0
         (n,n33)                              0 +/- 0
         (n,n34)                              0 +/- 0
         (n,n35)                              0 +/- 0
         (n,n36)                              0 +/- 0
         (n,n37)                              0 +/- 0
         (n,n38)                              0 +/- 0
         (n,n39)                              0 +/- 0
         (n,n40)                              0 +/- 0
         (n,nc)                               0 +/- 0
     Outgoing Energy [1123.4935166336086, 1134.4484988744289)
       Total Material
         (n,2n)                               6e-10 +/- 2.38683e-10
         Nu-Fission Rate                      4.4e-09 +/- 6.40707e-10
         (n,n1)                               0 +/- 0
         (n,n2)                               0 +/- 0
         (n,n3)                               0 +/- 0
         (n,n4)                               0 +/- 0
         (n,n5)                               0 +/- 0
         (n,n6)                               0 +/- 0
         (n,n7)                               0 +/- 0
         (n,n8)                               0 +/- 0
         (n,n9)                               0 +/- 0
         (n,n10)                              0 +/- 0
         (n,n11)                              0 +/- 0
         (n,n12)                              0 +/- 0
         (n,n13)                              0 +/- 0
         (n,n14)                              0 +/- 0
         (n,n15)                              0 +/- 0
         (n,n16)                              0 +/- 0
         (n,n17)                              0 +/- 0
         (n,n18)                              0 +/- 0
         (n,n19)                              0 +/- 0
         (n,n20)                              0 +/- 0
         (n,n21)                              0 +/- 0
         (n,n22)                              0 +/- 0
         (n,n23)                              0 +/- 0
         (n,n24)                              0 +/- 0
         (n,n25)                              0 +/- 0
         (n,n26)                              0 +/- 0
         (n,n27)                              0 +/- 0
         (n,n28)                              0 +/- 0
         (n,n29)                              0 +/- 0
         (n,n30)                              0 +/- 0
         (n,n31)                              0 +/- 0
         (n,n32)                              0 +/- 0
         (n,n33)                              0 +/- 0
         (n,n34)                              0 +/- 0
         (n,n35)                              0 +/- 0
         (n,n36)                              0 +/- 0
         (n,n37)                              0 +/- 0
         (n,n38)                              0 +/- 0
         (n,n39)                              0 +/- 0
         (n,n40)                              0 +/- 0
         (n,nc)                               0 +/- 0
     Outgoing Energy [1134.4484988744289, 1145.5103011672743)
       Total Material
         (n,2n)                               8e-10 +/- 2.7266e-10
         Nu-Fission Rate                      5.1e-09 +/- 7.03455e-10
         (n,n1)                               0 +/- 0
         (n,n2)                               0 +/- 0
         (n,n3)                               0 +/- 0
         (n,n4)                               0 +/- 0
         (n,n5)                               0 +/- 0
         (n,n6)                               0 +/- 0
         (n,n7)                               0 +/- 0
         (n,n8)                               0 +/- 0
         (n,n9)                               0 +/- 0
         (n,n10)                              0 +/- 0
         (n,n11)                              0 +/- 0
         (n,n12)                              0 +/- 0
         (n,n13)                              0 +/- 0
         (n,n14)                              0 +/- 0
         (n,n15)                              0 +/- 0
         (n,n16)                              0 +/- 0
         (n,n17)                              0 +/- 0
         (n,n18)                              0 +/- 0
         (n,n19)                              0 +/- 0
         (n,n20)                              0 +/- 0
         (n,n21)                              0 +/- 0
         (n,n22)                              0 +/- 0
         (n,n23)                              0 +/- 0
         (n,n24)                              0 +/- 0
         (n,n25)                              0 +/- 0
         (n,n26)                              0 +/- 0
         (n,n27)                              0 +/- 0
         (n,n28)                              0 +/- 0
         (n,n29)                              0 +/- 0
         (n,n30)                              0 +/- 0
         (n,n31)                              0 +/- 0
         (n,n32)                              0 +/- 0
         (n,n33)                              0 +/- 0
         (n,n34)                              0 +/- 0
         (n,n35)                              0 +/- 0
         (n,n36)                              0 +/- 0
         (n,n37)                              0 +/- 0
         (n,n38)                              0 +/- 0
         (n,n39)                              0 +/- 0
         (n,n40)                              0 +/- 0
         (n,nc)                               0 +/- 0
     Outgoing Energy [1145.5103011672743, 1156.6799650951673)
       Total Material
         (n,2n)                               5e-10 +/- 2.19043e-10
         Nu-Fission Rate                      4.9e-09 +/- 7.5872e-10
         (n,n1)                               0 +/- 0
         (n,n2)                               0 +/- 0
         (n,n3)                               0 +/- 0
         (n,n4)                               0 +/- 0
         (n,n5)                               0 +/- 0
         (n,n6)                               0 +/- 0
         (n,n7)                               0 +/- 0
         (n,n8)                               0 +/- 0
         (n,n9)                               0 +/- 0
         (n,n10)                              0 +/- 0
         (n,n11)                              0 +/- 0
         (n,n12)                              0 +/- 0
         (n,n13)                              0 +/- 0
         (n,n14)                              0 +/- 0
         (n,n15)                              0 +/- 0
         (n,n16)                              0 +/- 0
         (n,n17)                              0 +/- 0
         (n,n18)                              0 +/- 0
         (n,n19)                              0 +/- 0
         (n,n20)                              0 +/- 0
         (n,n21)                              0 +/- 0
         (n,n22)                              0 +/- 0
         (n,n23)                              0 +/- 0
         (n,n24)                              0 +/- 0
         (n,n25)                              0 +/- 0
         (n,n26)                              0 +/- 0
         (n,n27)                              0 +/- 0
         (n,n28)                              0 +/- 0
         (n,n29)                              0 +/- 0
         (n,n30)                              0 +/- 0
         (n,n31)                              0 +/- 0
         (n,n32)                              0 +/- 0
         (n,n33)                              0 +/- 0
         (n,n34)                              0 +/- 0
         (n,n35)                              0 +/- 0
         (n,n36)                              0 +/- 0
         (n,n37)                              0 +/- 0
         (n,n38)                              0 +/- 0
         (n,n39)                              0 +/- 0
         (n,n40)                              0 +/- 0
         (n,nc)                               0 +/- 0
     Outgoing Energy [1156.6799650951673, 1167.9585423974195)
       Total Material
         (n,2n)                               1e-09 +/- 3.33333e-10
         Nu-Fission Rate                      5.2e-09 +/- 6.88726e-10
         (n,n1)                               0 +/- 0
         (n,n2)                               0 +/- 0
         (n,n3)                               0 +/- 0
         (n,n4)                               0 +/- 0
         (n,n5)                               0 +/- 0
         (n,n6)                               0 +/- 0
         (n,n7)                               0 +/- 0
         (n,n8)                               0 +/- 0
         (n,n9)                               0 +/- 0
         (n,n10)                              0 +/- 0
         (n,n11)                              0 +/- 0
         (n,n12)                              0 +/- 0
         (n,n13)                              0 +/- 0
         (n,n14)                              0 +/- 0
         (n,n15)                              0 +/- 0
         (n,n16)                              0 +/- 0
         (n,n17)                              0 +/- 0
         (n,n18)                              0 +/- 0
         (n,n19)                              0 +/- 0
         (n,n20)                              0 +/- 0
         (n,n21)                              0 +/- 0
         (n,n22)                              0 +/- 0
         (n,n23)                              0 +/- 0
         (n,n24)                              0 +/- 0
         (n,n25)                              0 +/- 0
         (n,n26)                              0 +/- 0
         (n,n27)                              0 +/- 0
         (n,n28)                              0 +/- 0
         (n,n29)                              0 +/- 0
