kgU238_per_m3_breeder,N_U238_atom_per_b_cm,sigma_bg,I_infinite_b,I_eff_b,I_eff_over_I_infinite,R_per_source_neutron
0.0,0.0,inf,1.585332000285856,1.585332000285856,1.0,0.0
0.1,1.2792475201026048e-07,2526744.164647051,1.585332000285856,1.584544380571904,0.99950318311003,3.525939808818426e-05
0.5,6.395697819283063e-07,505372.67777572904,1.585332000285856,1.5814129612811547,0.9975279379940639,0.0001759337392025206
1,1.279004644169627e-06,252701.2419168137,1.585332000285856,1.5775409336991653,0.9950855299802907,0.000350968921669258
10,1.2765809475527873e-05,25296.949643790012,1.585332000285856,1.5148439679020091,0.9555373685946307,0.003363815467747195
25,3.181404504228201e-05,10136.6634922551,1.585332000285856,1.4322083102262642,0.9034122253054997,0.007925761213580969
50,6.329595852870966e-05,5083.234775076793,1.585332000285856,1.3313027917083515,0.8397627698603828,0.014657797806019359
75,9.445091452064005e-05,3398.7585360173584,1.585332000285856,1.257320659343263,0.7930961206337549,0.020657041490428154
100,0.0001252839801635088,2556.5204164876395,1.585332000285856,1.1996396897531314,0.7567119628802174,0.026143412222533722
150,0.00018600419080444183,1714.282296957923,1.585332000285856,1.1136577786636495,0.7024760608269072,0.036032167442689216
250,0.0003037936404335111,1040.4918013341487,1.585332000285856,1.0027045902714076,0.632488709046816,0.05298678681324401
500,0.0005785958748324087,535.148929616318,1.585332000285856,0.8576473392068875,0.5409891045233696,0.08631772398852453
750,0.0008283677294193332,366.7013057103747,1.585332000285856,0.7791331747355223,0.4914637278469333,0.11226665197208405
999.99,0.0010563713576681015,282.4800204970288,1.585332000285856,0.726919508931833,0.4585282507391259,0.13357305059572974
