kg_fertile_per_m3_breeder,N_fertile_atom_per_b_cm,sigma_bg,I_infinite_b,I_eff_b,I_eff_over_I_infinite,R_I,R_F,R_per_source_neutron,k_inf,k_eff,M_subcrit
0.0,0.0,inf,0.8599697704904362,0.8599697704904362,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.01,2.04366946763962e-08,13784784.896845931,0.8599697704904362,0.8599631845723062,0.9999923416864686,8.134146058026039e-07,1.252077969852303e-06,2.065492575654907e-06,0.0,0.0,1.0
0.1,2.0436694676396208e-07,1378474.1778339162,0.8599697704904362,0.8599040031579208,0.9999235236693519,8.13358627793642e-06,1.2520779698523036e-05,2.0654365976459457e-05,0.0,0.0,1.0
0.5,1.0218347338198104e-06,275691.00281062565,0.8599697704904362,0.8596429446680471,0.9996199566152161,4.065558500134586e-05,6.260389849261517e-05,0.00010325948349396104,0.0,0.0,1.0
1,2.04366946763962e-06,137843.1059327144,0.8599697704904362,0.8593210117767088,0.999245602885137,8.128071929031228e-05,0.0001252077969852303,0.00020648851627554256,0.0,0.0,1.0
10,2.0436694676396192e-05,13779.998742594244,0.8599697704904362,0.8541729989551003,0.9932593310436598,0.0008079378346618881,0.0012520779698523025,0.0020600158045141906,0.0,0.0,1.0
25,5.109173669099054e-05,5509.1249299195715,0.8599697704904362,0.8472450699222632,0.9852033164364415,0.0020034622613285626,0.00313019492463076,0.005133657185959322,0.0,0.0,1.0
50,0.00010218347338198097,2752.1669923613454,0.8599697704904362,0.837897667939489,0.974333862295695,0.0039627173203285815,0.006260389849261514,0.010223107169590096,0.0,0.0,1.0
75,0.00015327521007297147,1833.1810131752695,0.8599697704904362,0.8299539569241252,0.9650966643290343,0.005887723010853372,0.009390584773892272,0.015278307784745645,0.0,0.0,1.0
100,0.0002043669467639621,1373.688023582232,0.8599697704904362,0.8228290896976267,0.9568116437725149,0.007782905264394321,0.012520779698523037,0.02030368496291736,0.0,0.0,1.0
150,0.0003065504201459431,914.1950339891944,0.8599697704904362,0.8101159380615597,0.942028389671831,0.01149398279312057,0.01878116954778455,0.030275152340905123,0.0,0.0,1.0
250,0.0005109173669099051,546.6006423147644,0.8599697704904362,0.788337457581326,0.9167036849815562,0.01864164692750359,0.03130194924630758,0.04994359617381117,0.0,0.0,1.0
500,0.0010218347338198097,270.90484855894175,0.8599697704904362,0.7446938206761957,0.8659534860760288,0.03521923039590489,0.06260389849261513,0.09782312888852002,0.0,0.0,1.0
750,0.0015327521007297152,179.0062506403341,0.8599697704904362,0.7093006883871082,0.8247972344220865,0.05031804414919735,0.09390584773892274,0.1442238918881201,0.0,0.0,1.0
1000,0.00204366946763962,133.05695168103037,0.8599697704904362,0.6788140837153196,0.7893464479899049,0.064207084701325,0.1252077969852303,0.1894148816865553,0.0,0.0,1.0
2000,0.0040873389352792415,64.13300324207471,0.8599697704904362,0.5840191920119961,0.6791159550630868,0.11048141347768377,0.2504155939704607,0.36089700744814446,0.0,0.0,1.0
3000,0.006131008402918866,41.15835376242281,0.8599697704904362,0.5132646079204523,0.5968402908252696,0.1456446983593888,0.3756233909556913,0.5212680893150801,0.0,0.0,1.0
4000,0.008174677870558483,29.671029022596876,0.8599697704904362,0.4561613386365085,0.5304388064435824,0.17258799079122944,0.5008311879409214,0.6734191787321508,0.0,0.0,1.0
4499,0.009194468934910653,25.848729592608112,0.8599697704904362,0.4312643987094812,0.5014878586529075,0.18352351071312542,0.5633098786365514,0.7468333893496768,0.0,0.0,1.0
