energy mid [eV],cell,mean,std. dev.,fertile_MT
1.011637911607866e-05,1,0.0,0.0,0.076
1.011637911607866e-05,2,0.0,0.0,0.1
1.011637911607866e-05,3,0.0,0.0,0.5
1.011637911607866e-05,4,0.0,0.0,1.0
1.011637911607866e-05,5,0.0,0.0,5.0
1.011637911607866e-05,6,0.0,0.0,10.0
1.011637911607866e-05,7,0.0,0.0,20.0
1.011637911607866e-05,8,0.0,0.0,30.0
1.011637911607866e-05,9,0.0,0.0,40.0
1.011637911607866e-05,10,0.0,0.0,50.0
1.0351846167967833e-05,1,0.0,0.0,0.076
1.0351846167967833e-05,2,0.0,0.0,0.1
1.0351846167967833e-05,3,0.0,0.0,0.5
1.0351846167967833e-05,4,0.0,0.0,1.0
1.0351846167967833e-05,5,0.0,0.0,5.0
1.0351846167967833e-05,6,0.0,0.0,10.0
1.0351846167967833e-05,7,0.0,0.0,20.0
1.0351846167967833e-05,8,0.0,0.0,30.0
1.0351846167967833e-05,9,0.0,0.0,40.0
1.0351846167967833e-05,10,0.0,0.0,50.0
1.0592793909329907e-05,1,0.0,0.0,0.076
1.0592793909329907e-05,2,0.0,0.0,0.1
1.0592793909329907e-05,3,0.0,0.0,0.5
1.0592793909329907e-05,4,0.0,0.0,1.0
1.0592793909329907e-05,5,0.0,0.0,5.0
1.0592793909329907e-05,6,0.0,0.0,10.0
1.0592793909329907e-05,7,0.0,0.0,20.0
1.0592793909329907e-05,8,0.0,0.0,30.0
1.0592793909329907e-05,9,0.0,0.0,40.0
1.0592793909329907e-05,10,0.0,0.0,50.0
1.0839349907724154e-05,1,0.0,0.0,0.076
1.0839349907724154e-05,2,0.0,0.0,0.1
1.0839349907724154e-05,3,0.0,0.0,0.5
1.0839349907724154e-05,4,0.0,0.0,1.0
1.0839349907724154e-05,5,0.0,0.0,5.0
1.0839349907724154e-05,6,0.0,0.0,10.0
1.0839349907724154e-05,7,0.0,0.0,20.0
1.0839349907724154e-05,8,0.0,0.0,30.0
1.0839349907724154e-05,9,0.0,0.0,40.0
1.0839349907724154e-05,10,0.0,0.0,50.0
1.1091644699949804e-05,1,0.0,0.0,0.076
1.1091644699949804e-05,2,0.0,0.0,0.1
1.1091644699949804e-05,3,0.0,0.0,0.5
1.1091644699949804e-05,4,0.0,0.0,1.0
1.1091644699949804e-05,5,0.0,0.0,5.0
1.1091644699949804e-05,6,0.0,0.0,10.0
1.1091644699949804e-05,7,0.0,0.0,20.0
1.1091644699949804e-05,8,0.0,0.0,30.0
1.1091644699949804e-05,9,0.0,0.0,40.0
1.1091644699949804e-05,10,0.0,0.0,50.0
1.1349811861157548e-05,1,0.0,0.0,0.076
1.1349811861157548e-05,2,0.0,0.0,0.1
1.1349811861157548e-05,3,0.0,0.0,0.5
1.1349811861157548e-05,4,0.0,0.0,1.0
1.1349811861157548e-05,5,0.0,0.0,5.0
1.1349811861157548e-05,6,0.0,0.0,10.0
1.1349811861157548e-05,7,0.0,0.0,20.0
1.1349811861157548e-05,8,0.0,0.0,30.0
1.1349811861157548e-05,9,0.0,0.0,40.0
1.1349811861157548e-05,10,0.0,0.0,50.0
1.1613988075569672e-05,1,0.0,0.0,0.076
1.1613988075569672e-05,2,0.0,0.0,0.1
1.1613988075569672e-05,3,0.0,0.0,0.5
1.1613988075569672e-05,4,0.0,0.0,1.0
1.1613988075569672e-05,5,0.0,0.0,5.0
1.1613988075569672e-05,6,0.0,0.0,10.0
1.1613988075569672e-05,7,0.0,0.0,20.0
1.1613988075569672e-05,8,0.0,0.0,30.0
1.1613988075569672e-05,9,0.0,0.0,40.0
1.1613988075569672e-05,10,0.0,0.0,50.0
1.1884313208846252e-05,1,0.0,0.0,0.076
1.1884313208846252e-05,2,0.0,0.0,0.1
1.1884313208846252e-05,3,0.0,0.0,0.5
1.1884313208846252e-05,4,0.0,0.0,1.0
1.1884313208846252e-05,5,0.0,0.0,5.0
1.1884313208846252e-05,6,0.0,0.0,10.0
1.1884313208846252e-05,7,0.0,0.0,20.0
1.1884313208846252e-05,8,0.0,0.0,30.0
1.1884313208846252e-05,9,0.0,0.0,40.0
1.1884313208846252e-05,10,0.0,0.0,50.0
1.2160930382135749e-05,1,0.0,0.0,0.076
1.2160930382135749e-05,2,0.0,0.0,0.1
1.2160930382135749e-05,3,0.0,0.0,0.5
1.2160930382135749e-05,4,0.0,0.0,1.0
1.2160930382135749e-05,5,0.0,0.0,5.0
1.2160930382135749e-05,6,0.0,0.0,10.0
1.2160930382135749e-05,7,0.0,0.0,20.0
1.2160930382135749e-05,8,0.0,0.0,30.0
1.2160930382135749e-05,9,0.0,0.0,40.0
1.2160930382135749e-05,10,0.0,0.0,50.0
